08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
3.33135e+02,5.14128e-01,1.37228e-01,
3.43766e+02,5.13911e-01,1.20258e-01,
3.31517e+02,5.13753e-01,1.14811e-01,
3.28514e+02,5.16184e-01,1.43380e-01,
3.39649e+02,5.14172e-01,1.32846e-01,
3.31590e+02,5.12574e-01,1.02033e-01,
3.27315e+02,5.10069e-01,1.56508e-01,
3.32991e+02,5.11835e-01,1.26766e-01,
3.29019e+02,5.11435e-01,1.15794e-01,
3.25717e+02,5.03195e-01,1.26884e-01,
3.26555e+02,5.00571e-01,1.07959e-01,
3.31418e+02,5.01190e-01,1.28018e-01,
3.26020e+02,4.97708e-01,9.95821e-02,
3.24713e+02,5.03523e-01,1.41182e-01,
3.30363e+02,5.07577e-01,1.16773e-01,
3.23528e+02,4.92956e-01,9.16072e-02,
3.17068e+02,5.00655e-01,1.18910e-01,
3.14756e+02,4.96872e-01,1.09261e-01,
3.19350e+02,4.89600e-01,1.39910e-01,
3.18864e+02,4.92570e-01,1.46145e-01,
3.13741e+02,4.97104e-01,9.65731e-02,
3.17565e+02,4.95334e-01,1.35555e-01,
3.24881e+02,4.97714e-01,1.27178e-01,
3.20284e+02,4.90235e-01,1.36906e-01,
3.08157e+02,4.83697e-01,1.04753e-01,
3.16748e+02,4.93744e-01,1.26524e-01,
3.14179e+02,5.01185e-01,1.23155e-01,
3.17287e+02,4.94307e-01,1.29265e-01,
3.17336e+02,5.00577e-01,1.27555e-01,
3.12572e+02,4.92322e-01,1.44932e-01,
3.20919e+02,4.87948e-01,1.36827e-01,
3.14154e+02,4.92506e-01,9.33256e-02,
3.06184e+02,4.82208e-01,1.16906e-01,
3.19210e+02,4.83465e-01,1.18321e-01,
3.17264e+02,4.90260e-01,1.20467e-01,
3.23448e+02,4.99275e-01,1.16457e-01,
3.21501e+02,4.89752e-01,1.12876e-01,
3.19411e+02,4.91677e-01,1.20761e-01,
3.26352e+02,4.94607e-01,1.29264e-01,
3.28808e+02,5.00180e-01,1.16480e-01,
3.22498e+02,5.00474e-01,1.38271e-01,
3.25790e+02,5.05760e-01,1.36131e-01,
3.33073e+02,5.16408e-01,1.42943e-01,
3.42384e+02,5.14592e-01,1.38164e-01,
3.28202e+02,5.13407e-01,1.65456e-01,
3.38221e+02,5.07072e-01,1.45946e-01,
3.46145e+02,5.35530e-01,1.61260e-01,
3.33645e+02,5.30094e-01,1.36736e-01,
3.47367e+02,5.38479e-01,1.25897e-01,
3.36753e+02,5.31749e-01,1.16936e-01,
3.57800e+02,5.43170e-01,1.18273e-01,
3.48334e+02,5.49594e-01,1.33149e-01,
3.52048e+02,5.49494e-01,1.38925e-01,
3.48119e+02,5.62406e-01,1.36023e-01,
3.55651e+02,5.58724e-01,1.56400e-01,
3.55841e+02,5.65561e-01,1.06233e-01,
3.65730e+02,5.74594e-01,1.36977e-01,
3.64415e+02,5.66587e-01,1.61372e-01,
3.70369e+02,5.71539e-01,1.66002e-01,
3.65141e+02,5.64598e-01,1.44548e-01,
3.68734e+02,5.82504e-01,1.26548e-01,
3.65744e+02,5.81216e-01,1.37370e-01,
3.69875e+02,5.69642e-01,1.42764e-01,
3.70422e+02,5.77910e-01,9.53804e-02,
3.66538e+02,5.83234e-01,1.30170e-01,
3.69916e+02,5.73802e-01,1.39569e-01,
3.60673e+02,5.80833e-01,1.27253e-01,
3.73580e+02,5.75765e-01,1.46343e-01,
3.70033e+02,5.83163e-01,1.21772e-01,
3.82996e+02,5.80952e-01,1.77019e-01,
3.66979e+02,5.75999e-01,1.40042e-01,
3.64820e+02,5.84274e-01,1.60833e-01,
3.66428e+02,5.73976e-01,1.59934e-01,
3.64347e+02,5.78640e-01,1.02320e-01,
3.64393e+02,5.84872e-01,1.15445e-01,
3.65459e+02,5.83644e-01,1.37593e-01,
3.77952e+02,5.92129e-01,1.42071e-01,
3.75740e+02,5.85831e-01,1.44721e-01,
3.77903e+02,5.90078e-01,1.47628e-01,
3.85609e+02,5.95571e-01,1.31980e-01,
3.78554e+02,5.89220e-01,1.29359e-01,
3.84075e+02,5.99120e-01,1.07567e-01,
3.77011e+02,5.91587e-01,1.04536e-01,
3.86500e+02,5.94633e-01,1.52843e-01,
3.73165e+02,5.82005e-01,1.27927e-01,
3.77971e+02,5.95307e-01,1.39566e-01,
3.76960e+02,5.85879e-01,1.41328e-01,
3.77268e+02,5.90448e-01,1.61830e-01,
3.81050e+02,5.93637e-01,1.60148e-01,
3.78848e+02,5.85985e-01,1.32245e-01,
3.80422e+02,5.85587e-01,1.21245e-01,
3.78752e+02,5.80701e-01,1.48863e-01,
3.68949e+02,5.78004e-01,1.41486e-01,
3.57679e+02,5.74902e-01,1.24031e-01,
3.61344e+02,5.72413e-01,1.28341e-01,
3.64073e+02,5.83754e-01,1.21220e-01,
3.74247e+02,6.10957e-01,1.38147e-01,
4.25841e+02,6.64236e-01,1.62061e-01,
4.67221e+02,7.49394e-01,1.87623e-01,
5.25815e+02,8.59838e-01,2.14681e-01,
6.00868e+02,1.00620e+00,2.07568e-01,
6.94536e+02,1.17668e+00,2.36974e-01,
8.22825e+02,1.41876e+00,2.95442e-01,
9.50809e+02,1.66681e+00,3.09623e-01,
1.10498e+03,1.98642e+00,3.74016e-01,
1.27248e+03,2.32961e+00,3.95333e-01,
1.46601e+03,2.70587e+00,4.48331e-01,
1.64754e+03,3.07185e+00,4.70960e-01,
1.84439e+03,3.46785e+00,5.00073e-01,
2.03811e+03,3.87626e+00,5.61534e-01,
2.22974e+03,4.29567e+00,6.05730e-01,
2.43841e+03,4.71544e+00,6.63764e-01,
2.65307e+03,5.15147e+00,7.07259e-01,
2.85320e+03,5.56211e+00,7.67906e-01,
3.07086e+03,6.00797e+00,8.20052e-01,
3.29464e+03,6.44386e+00,8.65869e-01,
3.49840e+03,6.88083e+00,9.06087e-01,
3.73622e+03,7.35700e+00,9.79613e-01,
3.93027e+03,7.74302e+00,1.05796e+00,
