,,,
File,Raw,DataFile,
Time,Major,Minor1,
85,92,69,
85,92,70,
85,92,70,
85,93,70,
85,93,70,
85,93,72,
85,95,74,
86,94,72,
85,94,74,
85,93,72,
85,91,69,
85,90,68,
85,89,67,
85,91,67,
85,91,68,
85,92,70,
85,90,71,
85,92,69,
85,92,69,
85,91,70,
86,92,70,
85,92,71,
85,93,72,
85,93,72,
85,95,73,
85,95,74,
85,95,72,
86,93,71,
85,92,68,
85,90,68,
85,90,67,
85,90,69,
85,91,69,
85,92,70,
85,92,70,
85,92,70,
85,92,70,
85,91,68,
85,91,69,
85,92,68,
85,91,68,
85,93,70,
85,93,73,
85,94,72,
85,94,72,
86,94,72,
85,91,70,
85,93,70,
85,90,69,
85,90,67,
85,92,69,
85,91,69,
85,92,69,
85,91,68,
85,93,70,
86,92,69,
85,92,69,
85,92,69,
85,92,70,
85,91,69,
85,93,72,
85,94,71,
85,94,72,
85,94,73,
85,91,70,
85,91,69,
86,91,68,
85,89,67,
85,91,70,
85,92,71,
85,92,69,
85,92,69,
85,92,71,
85,93,70,
85,92,70,
85,93,71,
85,93,70,
85,92,70,
85,94,72,
86,93,72,
85,95,74,
85,94,73,
85,92,69,
85,90,68,
85,90,69,
85,90,67,
85,90,68,
85,91,68,
85,90,68,
85,92,70,
85,92,70,
85,92,70,
85,92,69,
85,91,68,
86,92,70,
85,92,70,
85,94,71,
85,93,72,
85,95,73,
85,93,71,
85,93,71,
85,92,68,
85,91,70,
85,89,65,
85,90,68,
86,90,69,
85,91,68,
85,92,69,
85,92,70,
85,92,70,
85,92,69,
85,92,69,
85,94,71,
85,92,69,
85,93,71,
85,95,72,
85,94,72,
86,95,72,
85,92,70,
85,92,69,
85,91,69,
85,90,66,
85,90,68,
85,91,67,
85,91,69,
85,93,71,
85,92,69,
85,93,70,
86,91,69,
85,93,70,
85,93,72,
85,92,71,
85,95,71,
85,94,72,
85,95,74,
85,93,72,
85,94,73,
85,91,70,
85,91,70,
85,89,68,
86,90,70,
85,92,69,
85,91,69,
85,92,70,
85,93,70,
85,91,68,
85,92,70,
85,92,70,
85,91,70,
85,92,70,
85,93,70,
85,93,71,
86,93,72,
85,94,73,
85,94,72,
85,91,70,
85,91,69,
85,90,67,
85,90,68,
85,92,70,
85,93,71,
85,92,69,
85,92,70,
85,91,69,
85,92,70,
85,91,68,
86,93,69,
85,92,69,
85,93,69,
85,94,72,
85,92,71,
85,94,71,
85,94,70,
85,92,70,
85,91,69,
85,90,68,
85,91,69,
85,91,72,
85,93,71,
85,92,70,
85,91,70,
85,91,71,
85,92,71,
85,92,71,
85,92,69,
86,91,69,
85,91,71,
85,94,72,
85,93,73,
85,96,74,
85,92,72,
85,91,69,
85,90,69,
85,90,69,
85,89,67,
85,91,69,
86,91,69,
85,92,70,
85,92,69,
85,93,71,
85,92,71,
85,92,71,
85,92,70,
85,93,71,
85,92,72,
85,95,72,
85,94,72,
86,95,74,
85,94,73,
85,93,69,
85,91,69,
85,91,69,
85,89,67,
85,90,68,
85,91,68,
85,91,68,
85,92,70,
85,91,69,
85,91,70,
85,92,69,
85,92,68,
85,92,69,
86,92,71,
85,94,72,
85,94,71,
85,95,72,
85,93,71,
85,92,71,
85,91,67,
85,90,67,
85,90,68,
85,91,69,
86,93,70,
85,92,70,
85,92,69,
85,93,70,
85,92,70,
85,91,70,
85,92,69,
85,92,70,
85,91,70,
85,93,72,
85,93,72,
85,95,73,
85,94,72,
86,92,70,
85,91,69,
85,92,68,
85,90,67,
85,92,69,
85,93,70,
85,93,71,
85,92,70,
85,92,70,
85,92,71,
86,93,70,
293,323,246,
2205,2464,1901,
4451,4978,3795,
5817,6514,4895,
6515,7296,5427,
6850,7672,5671,
7007,7849,5784,
7079,7930,5829,
7131,7988,5866,
7754,8684,6396,
9098,10182,7534,
10250,11471,8488,
10974,12282,9069,
11370,12729,9378,
11573,12958,9526,
11670,13070,9596,
11714,13119,9625,
11734,13140,9635,
11741,13150,9646,
11744,13153,9649,
11743,13157,9648,
11742,13156,9644,
11739,13149,9646,
11735,13151,9644,
11733,13150,9647,
11732,13148,9640,
11730,13140,9634,
11729,13141,9635,
11727,13138,9636,
11725,13135,9635,
11723,13134,9632,
11722,13131,9629,
11719,13134,9627,
11718,13128,9621,
11715,13125,9621,
11715,13123,9625,
11712,13118,9619,
11711,13119,9616,
11711,13120,9621,
11710,13122,9618,
11706,13119,9616,
11705,13116,9619,
11704,13113,9617,
11702,13110,9620,
11702,13109,9615,
11702,13108,9614,
11701,13111,9611,
11700,13112,9611,
11700,13111,9608,
11698,13110,9604,
11696,13105,9602,
11696,13105,9607,
11693,13101,9604,
11693,13100,9604,
11692,13101,9606,
11692,13098,9607,
11690,13097,9604,
11690,13099,9603,
11690,13101,9607,
11689,13099,9606,
11689,13101,9606,
11687,13096,9604,
11687,13092,9602,
11687,13095,9600,
11686,13091,9597,
11686,13090,9599,
11686,13091,9599,
11684,13091,9602,
11683,13089,9601,
11683,13091,9600,
11683,13088,9599,
11682,13087,9598,
11681,13088,9598,
11680,13085,9598,
11678,13083,9595,
11677,13100,9614,
11674,13099,9617,
11671,13090,9603,
11669,13083,9593,
11668,13079,9591,
11668,13076,9589,
11667,13072,9586,
11667,13072,9587,
11666,13070,9588,
11667,13074,9590,
11666,13070,9589,
11666,13068,9584,
11664,13068,9581,
11662,13063,9573,
11663,13060,9570,
11664,13063,9577,
11666,13069,9576,
11667,13068,9576,
11667,13070,9581,
11667,13069,9584,
11665,13070,9585,
11665,13072,9588,
11665,13066,9581,
11665,13068,9582,
11665,13069,9581,
11666,13071,9582,
11663,13069,9582,
11663,13068,9584,
11663,13065,9586,
11662,13065,9582,
11662,13062,9582,
11662,13062,9584,
11661,13060,9584,
11662,13065,9580,
11662,13064,9582,
11661,13065,9577,
11660,13066,9577,
11660,13065,9584,
11660,13066,9584,
11659,13066,9579,
11659,13064,9582,
11659,13062,9577,
11658,13068,9578,
11658,13065,9580,
11658,13058,9575,
11657,13061,9575,
11656,13057,9574,
11656,13059,9577,
11657,13061,9576,
11658,13063,9577,
11658,13062,9576,
11659,13062,9575,
11658,13059,9579,
11657,13056,9580,
11657,13057,9579,
11654,13059,9577,
11654,13058,9576,
11655,13058,9576,
11654,13059,9576,
11654,13060,9574,
11653,13057,9574,
11652,13059,9571,
11651,13054,9568,
11651,13054,9569,
11651,13052,9567,
11652,13054,9568,
11652,13060,9576,
11650,13059,9578,
11649,13056,9574,
11648,13055,9571,
11649,13056,9570,
11648,13053,9570,
11649,13050,9572,
11647,13049,9572,
11647,13048,9571,
11647,13049,9570,
11649,13050,9566,
11648,13052,9566,
11648,13051,9564,
11648,13051,9560,
11648,13048,9562,
11650,13047,9566,
11649,13047,9564,
11650,13048,9572,
11650,13053,9573,
11650,13056,9573,
11651,13054,9572,
11650,13055,9574,
11651,13056,9573,
11651,13056,9567,
11649,13052,9568,
11649,13055,9572,
11649,13055,9575,
11650,13056,9570,
11649,13054,9569,
11649,13057,9574,
11649,13053,9569,
11650,13053,9573,
11649,13046,9573,
11651,13049,9572,
11651,13051,9572,
11652,13055,9572,
11652,13057,9571,
11651,13056,9567,
11651,13052,9569,
11650,13054,9569,
11649,13052,9571,
11649,13053,9570,
11649,13053,9575,
11648,13053,9574,
11648,13054,9571,
11648,13051,9569,
11647,13049,9570,
11647,13050,9574,
11647,13050,9570,
11647,13050,9564,
11647,13049,9564,
11646,13046,9563,
11647,13047,9568,
11648,13049,9568,
11648,13050,9565,
11648,13053,9566,
11648,13050,9569,
11647,13048,9573,
11647,13048,9568,
11645,13048,9568,
11645,13045,9568,
11645,13045,9565,
11643,13045,9569,
11644,13047,9569,
11644,13048,9571,
11645,13043,9565,
11646,13043,9564,
11644,13042,9562,
11643,13041,9565,
11644,13042,9566,
11645,13042,9569,
11645,13042,9573,
11646,13044,9570,
11645,13052,9570,
11644,13052,9567,
11644,13048,9565,
11644,13047,9564,
11644,13048,9566,
11645,13047,9570,
11645,13046,9568,
11644,13046,9568,
11643,13045,9565,
