,,,
File,Raw,DataFile,
Time,Major,Minor1,
88,97,74,
89,96,74,
88,96,75,
89,97,77,
88,97,76,
89,99,78,
88,98,76,
89,97,74,
88,95,74,
89,94,72,
88,95,72,
89,95,72,
88,96,73,
89,96,73,
88,96,73,
89,96,74,
88,95,73,
89,93,71,
88,96,74,
88,96,74,
89,97,76,
88,99,76,
89,99,78,
89,99,78,
88,98,78,
88,96,74,
89,97,73,
88,95,75,
89,94,70,
88,95,72,
89,96,75,
88,97,76,
89,97,75,
88,95,75,
89,96,75,
88,95,73,
89,97,73,
88,95,73,
89,96,74,
88,96,76,
89,96,74,
88,98,76,
89,98,77,
88,96,75,
88,94,73,
89,94,71,
88,94,72,
89,95,74,
88,95,74,
89,96,73,
88,96,73,
89,96,74,
88,96,75,
89,96,74,
88,97,74,
88,96,73,
89,97,74,
88,98,75,
89,99,78,
88,99,77,
89,99,77,
88,97,76,
88,96,73,
89,95,73,
88,94,70,
89,95,73,
88,95,74,
89,96,76,
88,96,75,
89,95,74,
88,97,74,
89,96,73,
88,95,73,
89,96,74,
88,97,74,
89,98,78,
88,98,76,
88,98,77,
89,97,76,
88,97,75,
89,96,73,
88,95,72,
89,95,72,
88,96,74,
89,95,75,
88,96,74,
89,96,75,
88,97,74,
88,96,76,
89,98,75,
88,97,76,
89,97,74,
88,97,75,
89,97,76,
88,98,76,
89,99,78,
88,99,77,
88,97,75,
89,95,72,
88,94,73,
89,94,72,
88,95,73,
89,95,73,
88,96,73,
89,95,73,
88,95,74,
89,97,75,
88,97,75,
89,96,74,
88,96,75,
88,96,74,
89,97,76,
88,99,77,
89,99,79,
88,97,77,
88,97,76,
89,96,73,
88,97,75,
89,95,74,
88,96,74,
88,96,73,
89,95,73,
88,96,74,
89,97,76,
88,96,75,
89,96,74,
88,96,74,
88,95,72,
89,96,74,
88,97,76,
89,99,77,
88,98,78,
89,100,76,
88,99,75,
89,96,73,
88,97,75,
88,95,73,
89,95,74,
88,95,73,
89,96,74,
88,96,72,
89,97,74,
88,97,73,
89,96,73,
88,96,74,
89,98,75,
88,96,74,
89,96,74,
88,97,78,
89,97,77,
88,98,78,
88,99,76,
