#****************************************
#      PROGRAM:  ../co2/co2-lgr
#      FILE: co2iso_30Jan2012_f0005.csv*
#****************************************
# Threshold = 20000
# baseline = 10.000000 percent
# Delta13C reference =  0.000000   # Delta18O reference =  0.000000
#
#
#Peak  time(s)  samples    size	   13C/12C   18O/16O	  Delta13C    Delta18O
#------------------------------------------------------------------------------
     1     58     16   9.10e+05   0.011193   0.004176       0.00       0.00
     2     95     20   1.16e+06   0.011232   0.004312       3.52      32.62
     3    128     16   8.67e+05   0.011176   0.004767      -1.45     141.52
     4    161     16   8.93e+05   0.011165   0.004803      -2.47     150.22
     5    188     16   1.00e+06   0.011184   0.004155      -0.79      -5.00
     6    217     17   9.94e+05   0.011192   0.004240      -0.04      15.31
     7    248     19   1.12e+06   0.011223   0.004230       2.70      13.10
     8    279     16   9.10e+05   0.011183   0.004164      -0.85      -2.71
     9    312     17   9.28e+05   0.011194   0.004240       0.13      15.34
    10    370     17   9.34e+05   0.011205   0.004191       1.13       3.70
    11    430     16   8.50e+05   0.011182   0.004224      -0.91      11.52
    12    485     15   7.85e+05   0.011165   0.004213      -2.45       8.88
    13    548     15   8.29e+05   0.011170   0.004217      -2.00       9.84
#------------------------------------------------------------------------------
#****************************************
#      PROGRAM:  ../co2/co2-lgr
#      FILE: co2iso_30Jan2012_f0006.csv*
#****************************************
# Threshold = 20000
# baseline = 10.000000 percent
# Delta13C reference =  0.000000   # Delta18O reference =  0.000000
#
#
#Peak  time(s)  samples    size	   13C/12C   18O/16O	  Delta13C    Delta18O
#------------------------------------------------------------------------------
     1     68     20   1.96e+06   0.011180   0.004139       0.00       0.00
     2    133     20   2.05e+06   0.011186   0.004170       0.51       7.49
     3    200     19   1.80e+06   0.011174   0.004164      -0.57       5.92
     4    266     19   1.59e+06   0.011188   0.004203       0.69      15.27
     5    324     19   1.59e+06   0.011177   0.004184      -0.28      10.71
     6    384     19   1.71e+06   0.011173   0.004178      -0.64       9.34
#------------------------------------------------------------------------------
