2012 Feb 07 06:22:56
                     Time,     [ht12]_ppm,  [ht12]_ppm_se,     [ht13]_ppm,  [ht13]_ppm_se,     [ht18]_ppm,  [ht18]_ppm_se,      [H2O]_ppm,   [H2O]_ppm_se,      [CO2]_ppm,   [CO2]_ppm_se,           d13C,        d13C_se,           d18O,        d18O_se,    [12CO2]_ppm, [12CO2]_ppm_se,    [13CO2]_ppm, [13CO2]_ppm_se,    [18CO2]_ppm, [18CO2]_ppm_se,  [CO2_dry]_ppm,[CO2_dry]_ppm_se,      GasP_torr,   GasP_torr_se,         GasT_C,      GasT_C_se,         RD0_us,      RD0_us_se,            Gnd,         Gnd_se,         LTC0_b,      LTC0_b_se,         LTC0_v,      LTC0_v_se,          Peak0,       Peak0_se,         Xaxis0,      Xaxis0_se,         Xaxis1,      Xaxis1_se,         Xaxis2,      Xaxis2_se,           BL0T,        BL0T_se,           BL1T,        BL1T_se,           BL2F,        BL2F_se,           BL3F,        BL3F_se,     12CO2_0_CT,  12CO2_0_CT_se,     12CO2_0_AT,  12CO2_0_AT_se,     12CO2_0_DF,  12CO2_0_DF_se,     12CO2_0_PF,  12CO2_0_PF_se,     13CO2_1_CT,  13CO2_1_CT_se,     13CO2_1_AT,  13CO2_1_AT_se,     13CO2_1_DF,  13CO2_1_DF_se,     13CO2_1_PF,  13CO2_1_PF_se, 12C16O18O_3_CT,12C16O18O_3_CT_se, 12C16O18O_3_AT,12C16O18O_3_AT_se, 12C16O18O_3_DF,12C16O18O_3_DF_se, 12C16O18O_3_PF,12C16O18O_3_PF_se,      H2O_13_CF,   H2O_13_CF_se,      H2O_13_AT,   H2O_13_AT_se,      H2O_13_DF,   H2O_13_DF_se,      H2O_13_PF,   H2O_13_PF_se,       Fit_Flag,   N_Fits_Avg'd
    02/07/12 06:23:10.884,    4.84343e+02,    0.00000e+00,    7.15594e+00,    0.00000e+00,    7.64988e+00,    0.00000e+00,    7.06531e+03,    0.00000e+00,    5.14129e+02,    0.00000e+00,    2.43096e+02,    0.00000e+00,    2.31454e+03,    0.00000e+00,    5.00145e+02,    0.00000e+00,    6.98648e+00,    0.00000e+00,    6.99749e+00,    0.00000e+00,    5.17787e+02,    0.00000e+00,    2.04249e+01,    0.00000e+00,    3.10228e+01,    0.00000e+00,    4.04526e+01,    0.00000e+00,    1.21641e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.09295e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25076e+03,    0.00000e+00,    2.91323e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.54431e+00,    0.00000e+00,    1.14582e-03,    0.00000e+00,    1.76786e-01,    0.00000e+00,    7.05759e-02,    0.00000e+00,   -6.32672e+00,    0.00000e+00,    1.75781e-03,    0.00000e+00,    1.74792e-01,    0.00000e+00,    7.15901e-02,    0.00000e+00,    8.19713e+00,    0.00000e+00,    8.39027e-04,    0.00000e+00,    1.72893e-01,    0.00000e+00,    1.15158e-01,    0.00000e+00,   -1.26659e+01,    0.00000e+00,    1.65955e-02,    0.00000e+00,    2.76259e-01,    0.00000e+00,    6.00115e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:11.907,    4.55875e+02,    0.00000e+00,    7.02616e+00,    0.00000e+00,    9.19745e+00,    0.00000e+00,    7.05629e+03,    0.00000e+00,    4.83911e+02,    0.00000e+00,    2.99865e+02,    0.00000e+00,    3.33753e+03,    0.00000e+00,    4.68468e+02,    0.00000e+00,    6.84283e+00,    0.00000e+00,    8.60091e+00,    0.00000e+00,    4.87350e+02,    0.00000e+00,    2.10295e+01,    0.00000e+00,    3.10214e+01,    0.00000e+00,    4.04069e+01,    0.00000e+00,    1.21790e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.11546e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25015e+03,    0.00000e+00,    2.90896e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.46413e+00,    0.00000e+00,    1.10911e-03,    0.00000e+00,    1.76785e-01,    0.00000e+00,    7.26744e-02,    0.00000e+00,   -6.32656e+00,    0.00000e+00,    1.77502e-03,    0.00000e+00,    1.74791e-01,    0.00000e+00,    7.37093e-02,    0.00000e+00,    8.25858e+00,    0.00000e+00,    1.03746e-03,    0.00000e+00,    1.72892e-01,    0.00000e+00,    1.18567e-01,    0.00000e+00,   -1.26695e+01,    0.00000e+00,    1.70455e-02,    0.00000e+00,    2.76258e-01,    0.00000e+00,    6.18012e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:12.931,    4.58315e+02,    0.00000e+00,    7.51510e+00,    0.00000e+00,    7.49885e+00,    0.00000e+00,    7.23130e+03,    0.00000e+00,    4.86501e+02,    0.00000e+00,    3.87499e+02,    0.00000e+00,    2.44154e+03,    0.00000e+00,    4.72264e+02,    0.00000e+00,    7.36336e+00,    0.00000e+00,    6.87338e+00,    0.00000e+00,    4.90045e+02,    0.00000e+00,    2.05208e+01,    0.00000e+00,    3.10169e+01,    0.00000e+00,    4.04053e+01,    0.00000e+00,    1.21627e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10332e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.24990e+03,    0.00000e+00,    2.91400e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.50738e+00,    0.00000e+00,    1.08796e-03,    0.00000e+00,    1.76784e-01,    0.00000e+00,    7.09167e-02,    0.00000e+00,   -6.36097e+00,    0.00000e+00,    1.85255e-03,    0.00000e+00,    1.74790e-01,    0.00000e+00,    7.19274e-02,    0.00000e+00,    8.03018e+00,    0.00000e+00,    8.25391e-04,    0.00000e+00,    1.72891e-01,    0.00000e+00,    1.15701e-01,    0.00000e+00,   -1.26697e+01,    0.00000e+00,    1.70446e-02,    0.00000e+00,    2.76256e-01,    0.00000e+00,    6.03054e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:13.955,    5.21388e+02,    0.00000e+00,    7.22454e+00,    0.00000e+00,    6.65244e+00,    0.00000e+00,    7.28032e+03,    0.00000e+00,    5.53453e+02,    0.00000e+00,    1.61386e+02,    0.00000e+00,    1.60387e+03,    0.00000e+00,    5.40473e+02,    0.00000e+00,    7.05357e+00,    0.00000e+00,    5.92627e+00,    0.00000e+00,    5.57512e+02,    0.00000e+00,    1.99793e+01,    0.00000e+00,    3.10313e+01,    0.00000e+00,    4.03781e+01,    0.00000e+00,    1.21702e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10070e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25000e+03,    0.00000e+00,    2.91245e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.51672e+00,    0.00000e+00,    1.20449e-03,    0.00000e+00,    1.76788e-01,    0.00000e+00,    6.90650e-02,    0.00000e+00,   -6.35460e+00,    0.00000e+00,    1.73272e-03,    0.00000e+00,    1.74794e-01,    0.00000e+00,    7.00267e-02,    0.00000e+00,    7.99348e+00,    0.00000e+00,    7.12355e-04,    0.00000e+00,    1.72895e-01,    0.00000e+00,    1.12645e-01,    0.00000e+00,   -1.26677e+01,    0.00000e+00,    1.66975e-02,    0.00000e+00,    2.76262e-01,    0.00000e+00,    5.87435e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:14.958,    4.35825e+02,    0.00000e+00,    7.36587e+00,    0.00000e+00,    8.42365e+00,    0.00000e+00,    7.35948e+03,    0.00000e+00,    4.62627e+02,    0.00000e+00,    4.32329e+02,    0.00000e+00,    3.13296e+03,    0.00000e+00,    4.47585e+02,    0.00000e+00,    7.20405e+00,    0.00000e+00,    7.83810e+00,    0.00000e+00,    4.66057e+02,    0.00000e+00,    1.94861e+01,    0.00000e+00,    3.10234e+01,    0.00000e+00,    4.04014e+01,    0.00000e+00,    1.21634e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10522e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25020e+03,    0.00000e+00,    2.91566e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.50060e+00,    0.00000e+00,    9.82411e-04,    0.00000e+00,    1.76786e-01,    0.00000e+00,    6.73661e-02,    0.00000e+00,   -6.33687e+00,    0.00000e+00,    1.72402e-03,    0.00000e+00,    1.74792e-01,    0.00000e+00,    6.82994e-02,    0.00000e+00,    8.10306e+00,    0.00000e+00,    8.80306e-04,    0.00000e+00,    1.72893e-01,    0.00000e+00,    1.09864e-01,    0.00000e+00,   -1.26642e+01,    0.00000e+00,    1.64711e-02,    0.00000e+00,    2.76259e-01,    0.00000e+00,    5.73030e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:15.962,    4.27477e+02,    0.00000e+00,    7.27012e+00,    0.00000e+00,    8.01703e+00,    0.00000e+00,    7.28115e+03,    0.00000e+00,    4.53766e+02,    0.00000e+00,    4.41767e+02,    0.00000e+00,    2.99856e+03,    0.00000e+00,    4.39210e+02,    0.00000e+00,    7.11583e+00,    0.00000e+00,    7.44000e+00,    0.00000e+00,    4.57094e+02,    0.00000e+00,    1.93734e+01,    0.00000e+00,    3.10183e+01,    0.00000e+00,    4.03853e+01,    0.00000e+00,    1.21688e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10742e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25043e+03,    0.00000e+00,    2.91224e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.49276e+00,    0.00000e+00,    9.57559e-04,    0.00000e+00,    1.76785e-01,    0.00000e+00,    6.69884e-02,    0.00000e+00,   -6.37234e+00,    0.00000e+00,    1.69111e-03,    0.00000e+00,    1.74790e-01,    0.00000e+00,    6.79054e-02,    0.00000e+00,    8.22092e+00,    0.00000e+00,    8.32665e-04,    0.00000e+00,    1.72891e-01,    0.00000e+00,    1.09232e-01,    0.00000e+00,   -1.26649e+01,    0.00000e+00,    1.61946e-02,    0.00000e+00,    2.76256e-01,    0.00000e+00,    5.69861e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:16.966,    4.52389e+02,    0.00000e+00,    7.47314e+00,    0.00000e+00,    8.61129e+00,    0.00000e+00,    7.34169e+03,    0.00000e+00,    4.80210e+02,    0.00000e+00,    3.98362e+02,    0.00000e+00,    3.06626e+03,    0.00000e+00,    4.64899e+02,    0.00000e+00,    7.30527e+00,    0.00000e+00,    8.00578e+00,    0.00000e+00,    4.83762e+02,    0.00000e+00,    1.93531e+01,    0.00000e+00,    3.10194e+01,    0.00000e+00,    4.04334e+01,    0.00000e+00,    1.21374e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10992e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25015e+03,    0.00000e+00,    2.91360e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.48386e+00,    0.00000e+00,    1.01352e-03,    0.00000e+00,    1.76785e-01,    0.00000e+00,    6.69085e-02,    0.00000e+00,   -6.30740e+00,    0.00000e+00,    1.73858e-03,    0.00000e+00,    1.74791e-01,    0.00000e+00,    6.78338e-02,    0.00000e+00,    8.12328e+00,    0.00000e+00,    8.94504e-04,    0.00000e+00,    1.72892e-01,    0.00000e+00,    1.09117e-01,    0.00000e+00,   -1.26673e+01,    0.00000e+00,    1.63317e-02,    0.00000e+00,    2.76257e-01,    0.00000e+00,    5.69125e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:17.970,    5.01506e+02,    0.00000e+00,    7.23672e+00,    0.00000e+00,    7.79023e+00,    0.00000e+00,    7.40769e+03,    0.00000e+00,    5.32348e+02,    0.00000e+00,    2.12433e+02,    0.00000e+00,    2.25459e+03,    0.00000e+00,    5.18173e+02,    0.00000e+00,    7.05977e+00,    0.00000e+00,    7.11529e+00,    0.00000e+00,    5.36321e+02,    0.00000e+00,    1.93536e+01,    0.00000e+00,    3.10158e+01,    0.00000e+00,    4.04367e+01,    0.00000e+00,    1.21215e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.10872e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25020e+03,    0.00000e+00,    2.91367e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.48815e+00,    0.00000e+00,    1.12362e-03,    0.00000e+00,    1.76784e-01,    0.00000e+00,    6.69177e-02,    0.00000e+00,   -6.33215e+00,    0.00000e+00,    1.68377e-03,    0.00000e+00,    1.74790e-01,    0.00000e+00,    6.78362e-02,    0.00000e+00,    8.08868e+00,    0.00000e+00,    8.09323e-04,    0.00000e+00,    1.72891e-01,    0.00000e+00,    1.09120e-01,    0.00000e+00,   -1.26705e+01,    0.00000e+00,    1.64799e-02,    0.00000e+00,    2.76255e-01,    0.00000e+00,    5.69249e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:18.972,    4.98198e+02,    0.00000e+00,    7.55718e+00,    0.00000e+00,    7.76890e+00,    0.00000e+00,    7.22485e+03,    0.00000e+00,    5.28837e+02,    0.00000e+00,    2.78201e+02,    0.00000e+00,    2.26609e+03,    0.00000e+00,    5.14356e+02,    0.00000e+00,    7.38790e+00,    0.00000e+00,    7.09317e+00,    0.00000e+00,    5.32685e+02,    0.00000e+00,    1.93494e+01,    0.00000e+00,    3.10202e+01,    0.00000e+00,    4.04095e+01,    0.00000e+00,    1.21220e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.09942e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25016e+03,    0.00000e+00,    2.91396e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.52127e+00,    0.00000e+00,    1.11530e-03,    0.00000e+00,    1.76785e-01,    0.00000e+00,    6.69099e-02,    0.00000e+00,   -6.34608e+00,    0.00000e+00,    1.75676e-03,    0.00000e+00,    1.74791e-01,    0.00000e+00,    6.78209e-02,    0.00000e+00,    8.12171e+00,    0.00000e+00,    8.06367e-04,    0.00000e+00,    1.72892e-01,    0.00000e+00,    1.09095e-01,    0.00000e+00,   -1.26693e+01,    0.00000e+00,    1.60593e-02,    0.00000e+00,    2.76257e-01,    0.00000e+00,    5.69237e-02,    0.00000e+00,              3,              1
    02/07/12 06:23:19.976,    4.68991e+02,    0.00000e+00,    7.77667e+00,    0.00000e+00,    7.65916e+00,    0.00000e+00,    7.32567e+03,    0.00000e+00,    4.97833e+02,    0.00000e+00,    4.03915e+02,    0.00000e+00,    2.43368e+03,    0.00000e+00,    4.83193e+02,    0.00000e+00,    7.62289e+00,    0.00000e+00,    7.01753e+00,    0.00000e+00,    5.01507e+02,    0.00000e+00,    1.93500e+01,    0.00000e+00,    3.10196e+01,    0.00000e+00,    4.04508e+01,    0.00000e+00,    1.21249e+02,    0.00000e+00,    6.29590e+04,    0.00000e+00,    4.60684e+00,    0.00000e+00,    3.09852e+02,    0.00000e+00,    1.24894e+01,    0.00000e+00,   -7.24905e-02,    0.00000e+00,    2.80463e-01,    0.00000e+00,    1.25038e+03,    0.00000e+00,    2.91230e-01,    0.00000e+00,   -2.00000e-05,    0.00000e+00,    0.00000e+00,    0.00000e+00,    6.52447e+00,    0.00000e+00,    1.05101e-03,    0.00000e+00,    1.76785e-01,    0.00000e+00,    6.68899e-02,    0.00000e+00,   -6.35226e+00,    0.00000e+00,    1.80968e-03,    0.00000e+00,    1.74791e-01,    0.00000e+00,    6.78231e-02,    0.00000e+00,    8.26591e+00,    0.00000e+00,    7.95817e-04,    0.00000e+00,    1.72892e-01,    0.00000e+00,    1.09098e-01,    0.00000e+00,   -1.26763e+01,    0.00000e+00,    1.63005e-02,    0.00000e+00,    2.76257e-01,    0.00000e+00,    5.68937e-02,    0.00000e+00,              3,              1
