Beam 50,Beam 52,ratio1
227086.9,121686.5,0.535858739539797
227091.8,121690.1,0.535863029840796
227078.8,121684.6,0.535869486715625
227060,121671.2,0.535854840130362
227066.9,121683.3,0.535891845090588
227096.5,121688.7,0.535845774813791
227092.4,121694.7,0.535881870111021
227086.6,121683.4,0.535845796273316
227078.1,121680.2,0.535851762014919
227073.4,121677.1,0.535849201183406
227064.8,121677.4,0.535870817493509
227057.3,121680.7,0.535903051784726
227067.3,121678.3,0.535868881164307
227072.3,121688.2,0.535900680091759
227062.4,121685.5,0.535912154544302
227065.9,121683.4,0.535894645563248
227073,121689.1,0.535902991548973
227068.3,121679.7,0.535872686764291
227074.6,121682.1,0.535868388626469
227075.8,121675.4,0.535836051221663
227077.8,121687.5,0.535884617518753
227063.1,121673.2,0.535856332446796
227088,121685.1,0.53584997886282
227089.4,121683.8,0.535840950744509
227082.1,121678.6,0.535835277197102
227078.8,121672.4,0.535815760872437
227064.5,121685.3,0.535906317367973
227073,121685.8,0.535888458777574
227062.4,121672.9,0.535856663190383
227076.8,121684.6,0.535874206435884
227079.8,121681.8,0.535854796419585
227056.6,121672,0.535866387499857
227075.4,121684.4,0.535876629524819
227077.4,121678.5,0.535845927423865
227072.3,121674.8,0.53584166805022
227064.5,121677.3,0.535871085088158
227071.6,121684.8,0.535887358877112
227070.6,121688.4,0.535905572980386
227053.9,121680,0.535907993652608
227049.5,121689.8,0.535961541425989
227045,121684.9,0.535950582483649
227048.5,121684.1,0.535938797217335
227043,121681.1,0.535938566703224
227050.9,121686,0.535941500341994
227050.5,121697.4,0.535992653616706
227037.3,121691.9,0.535999591256591
227040.6,121688.9,0.53597858708971
227060.8,121692.1,0.535944997991727
227054.6,121689.8,0.535949502894898
227033.1,121671.5,0.535919652244541
227049.9,121684.1,0.535935492594359
227045.8,121674.9,0.535904650075007
227038.6,121672.2,0.535909752790935
227030.8,121660.6,0.535877070423925
227059,121665.9,0.535833858160214
227024.6,121670.8,0.535936634179732
227019.5,121666.9,0.535931494871586
227037.9,121679.9,0.535945320142584
227027,121677.4,0.535960039995243
227018.1,121671.8,0.535956384094484
227021.5,121661.3,0.53590210618818
227023.3,121663.5,0.535907547815577
227009.3,121664.2,0.535943681602472
227002.1,121665.2,0.53596508578555
227012.4,121657.4,0.535906408636709
227006.3,121660.3,0.535933584222112
226999.1,121664,0.535966882688081
227000.4,121671.5,0.535996852868982
227001.5,121681.6,0.53603874864263
227003.5,121678.3,0.536019488686298
226985.8,121663.3,0.535995203224166
227018.9,121660.9,0.535906481795128
227031.8,121652.6,0.535839472708229
227003.9,121656.2,0.53592118901922
227003.1,121655.3,0.535919112998897
227011,121660.8,0.535924690874011
226996.8,121665.9,0.535980683428136
226972.5,121658.1,0.536003700888874
226991.6,121666.1,0.535993842943968
226986.8,121659.1,0.535974338595901
227010,121658.6,0.535917360468702
227007.3,121663.5,0.535945319820111
226993.6,121664,0.535979869035955
226986.8,121666.1,0.536005177393575
226994,121659.4,0.535958659700256
226993.3,121655.7,0.53594401244442
226994.3,121656.2,0.535943854096777
226992.3,121648.9,0.53591641654805
226996.4,121651.8,0.535919512379932
226994,121650.3,0.535918570534904
226977.6,121652.3,0.535966104144198
226968.8,121654.3,0.535995696324781
226997.4,121672.4,0.536007901412087
226979.4,121656.7,0.535981238826079
226981,121650.6,0.535950586172411
226993.3,121656.3,0.535946655694243
226980,121652.6,0.535961758745264
226993.6,121654.1,0.53593625547152
226977.6,121652.1,0.535965222999979
226986.8,121650.9,0.535938213147196
226970.1,121647,0.535960463514798
