Beam50,Beam
227086.9,121686.5
227091.8,121690.1
227078.8,121684.6
227060,121671.2
227066.9,121683.3
227096.5,121688.7
227092.4,121694.7
227086.6,121683.4
227078.1,121680.2
227073.4,121677.1
227064.8,121677.4
227057.3,121680.7
227067.3,121678.3
227072.3,121688.2
227062.4,121685.5
227065.9,121683.4
227073,121689.1
227068.3,121679.7
227074.6,121682.1
227075.8,121675.4
227077.8,121687.5
227063.1,121673.2
227088,121685.1
227089.4,121683.8
227082.1,121678.6
227078.8,121672.4
227064.5,121685.3
227073,121685.8
227062.4,121672.9
227076.8,121684.6
227079.8,121681.8
227056.6,121672
227075.4,121684.4
227077.4,121678.5
227072.3,121674.8
227064.5,121677.3
227071.6,121684.8
227070.6,121688.4
227053.9,121680
227049.5,121689.8
227045,121684.9
227048.5,121684.1
227043,121681.1
227050.9,121686
227050.5,121697.4
227037.3,121691.9
227040.6,121688.9
227060.8,121692.1
227054.6,121689.8
227033.1,121671.5
227049.9,121684.1
227045.8,121674.9
227038.6,121672.2
227030.8,121660.6
227059,121665.9
227024.6,121670.8
227019.5,121666.9
227037.9,121679.9
227027,121677.4
227018.1,121671.8
227021.5,121661.3
227023.3,121663.5
227009.3,121664.2
227002.1,121665.2
227012.4,121657.4
227006.3,121660.3
226999.1,121664
227000.4,121671.5
227001.5,121681.6
227003.5,121678.3
226985.8,121663.3
227018.9,121660.9
227031.8,121652.6
227003.9,121656.2
227003.1,121655.3
227011,121660.8
226996.8,121665.9
226972.5,121658.1
226991.6,121666.1
226986.8,121659.1
227010,121658.6
227007.3,121663.5
226993.6,121664
226986.8,121666.1
226994,121659.4
226993.3,121655.7
226994.3,121656.2
226992.3,121648.9
226996.4,121651.8
226994,121650.3
226977.6,121652.3
226968.8,121654.3
226997.4,121672.4
226979.4,121656.7
226981,121650.6
226993.3,121656.3
226980,121652.6
226993.6,121654.1
226977.6,121652.1
226986.8,121650.9
226970.1,121647
226953.4,121643.3
226967.8,121651.6
226973.9,121650.1
226960.6,121649.9
226945.6,121646.5
226974.5,121645.6
226956.1,121648.7
226958.9,121645.1
226947,121645.6
226935,121640
226923.8,121637.8
226927.9,121632.3
226935.8,121636.3
226921.8,121629.3
226918,121633.9
226929.6,121621.6
226925.5,121626.9
226936.4,121622.1
226914.3,121620.8
226928.6,121629.4
226933.6,121626.6
226918.4,121631.6
226921.1,121630.1
226928.6,121637.3
226929.3,121638.4
226911.9,121635.3
226910.5,121627.9
226916.6,121632.9
226934.4,121638.4
226908.1,121642.2
226928.9,121636.3
226929.9,121634.2
226933.4,121634.1
226924.5,121631.3
226933.4,121634.6
226943.9,121633.9
226897.3,121629.8
226920.4,121634.7
226917.4,121643.6
226902.6,121631.1
226898.6,121638.1
226918,121627.9
226891.8,121624.7
226913.3,121627.3
226919.8,121637.6
226916,121645.9
226899.3,121642.6
226881.5,121635.6
226875.1,121628.6
226888,121634.6
226885,121635.6
226898.6,121626.9
254530.3,130108.3
733344,279616.5
1462050,509982.5
1969268,671959.5
2250542,762576.5
2390314,807978
2454736,829038.5
2482506,838177.5
2499876,843768.5
2722242,912570
3264608,1081707
3799500,1250207
4181604,1371812
4417612,1447626
4552380,1491241
4625868,1515194
4664920,1527992
4685420,1534769
4696088,1538314
4701732,1540157
4704772,1541221
4706596,1541819
4707684,1542181
4708480,1542422
4709160,1542608
4709880,1542788
4710572,1543011
4711200,1543263
4711716,1543426
4712052,1543544
4712448,1543634
4712876,1543708
4713248,1543838
4713656,1543958
4714024,1544095
4714240,1544183
4714412,1544194
4714560,1544266
4714892,1544365
4715092,1544432
4715308,1544544
4715548,1544630
4715824,1544667
4715936,1544693
4716048,1544741
4716084,1544725
4716328,1544789
4716576,1544883
4716632,1544955
4716712,1545019
4716888,1545059
4717028,1545072
4717092,1545114
4717228,1545142
4717400,1545174
4717448,1545209
4717596,1545258
4717800,1545338
4717968,1545416
4718012,1545413
4718112,1545380
4718104,1545383
4718344,1545498
4718416,1545568
4718532,1545602
4718572,1545589
4718752,1545691
4718908,1545708
4719092,1545737
4719212,1545748
4719300,1545823
4719544,1545939
4719776,1546006
4719964,1546036
4720028,1546057
4720072,1546060
4720176,1546118
4720224,1546160
4720280,1546125
4720228,1546089
4720248,1546110
4720364,1546172
4720520,1546219
4720616,1546227
4720664,1546258
4720812,1546314
4720948,1546380
4721200,1546430
4721284,1546448
4721276,1546467
4721344,1546473
4721548,1546522
4721624,1546550
4721664,1546572
4721848,1546622
4721840,1546606
4721984,1546646
4722072,1546701
4722292,1546778
4722396,1546829
4722436,1546864
4722500,1546832
4722700,1546849
4722900,1546894
4722960,1546929
4723004,1546948
4723012,1546927
4723016,1546933
4723216,1547042
4723392,1547118
4723660,1547164
4723792,1547193
4723868,1547213
4723836,1547213
4723888,1547211
4723924,1547208
4723960,1547248
4723992,1547267
4724200,1547359
4724324,1547376
4724444,1547380
4724584,1547417
4724748,1547463
4724848,1547491
4724892,1547555
4725084,1547606
4725328,1547632
4725340,1547641
4725356,1547591
4725556,1547632
4725552,1547686
4725704,1547738
4725644,1547734
4725660,1547759
4725780,1547810
4725844,1547840
4725968,1547854
4726040,1547881
4726084,1547916
4726128,1547918
4726160,1547945
4726200,1547928
4726432,1548007
4726740,1548102
4726896,1548158
4726960,1548146
4727148,1548161
4727312,1548200
4727348,1548239
4727476,1548292
4727632,1548357
4727772,1548358
4727796,1548374
4727936,1548412
4728216,1548524
4728384,1548573
4728496,1548575
4728644,1548618
4728668,1548638
4728756,1548636
4728796,1548655
4728832,1548653
4728968,1548677
4728864,1548652
4728896,1548685
4728948,1548707
4729132,1548749
4729192,1548775
4729064,1548729
4729172,1548741
4729256,1548764
4729444,1548824
4729636,1548876
4729832,1548971
4729936,1549007
4730024,1548995
4730076,1549032
4730268,1549042
4730516,1549125
4730536,1549140
4730500,1549167
4730636,1549202
4730632,1549209
4730700,1549217
4730692,1549228
4730708,1549236
4730872,1549252
4731036,1549281
4731172,1549340
4731352,1549361
4731312,1549363
4731368,1549358
4731476,1549403
4731612,1549458
4731828,1549521
4731912,1549550
4732004,1549537
4732108,1549613
4732268,1549646
4732340,1549650
4732416,1549700
4732380,1549729
4732456,1549747
4732564,1549787
4732696,1549792
4732732,1549802
4732728,1549798
4732820,1549777
4732928,1549813
4732988,1549852
4733104,1549895
4733240,1549958
4733284,1549988
4733380,1550019
4733380,1550015
4733196,1549962
4733284,1549967
4733344,1549979
4733304,1549974
4733348,1549936
4733508,1550023
4733596,1550059
4733632,1550059
4733656,1550071
4733704,1550100
4733776,1550091
4733852,1550094
4733952,1550133
4733924,1550124
4733888,1550111
4733948,1550129
4734232,1550210
4734348,1550276
4734300,1550289
4734392,1550308
4734504,1550294
4734624,1550297
4734704,1550350
4734696,1550381
4734800,1550403
4734960,1550402
4735056,1550470
4735208,1550493
4735320,1550488
4735412,1550527
4735464,1550559
4735568,1550629
4735732,1550669
4735836,1550641
4735864,1550692
4735908,1550731
4735868,1550739
4736032,1550728
4736032,1550739
4736044,1550770
4736132,1550812
4736328,1550875
4736448,1550903
4736492,1550928
4736524,1550884
4736620,1550889
4736712,1550916
4736856,1550960
4736980,1550947
4736912,1550901
4736832,1550877
4737040,1550951
4737296,1551022
4737396,1551086
4737412,1551119
4737508,1551168
4737588,1551225
4737704,1551228
4737784,1551218
4737868,1551241
